date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017/07/31,2406864986.12,183998.0,0.0,294.46,1075960.0,1837.49999989,138.11682218,
2017/08/01,906913244.383,230867.0,0.0,380.01,65988800.0,1812.5,194.86886623,
2017/08/02,603435292.698,76537.0,6302360000.0,452.66,416207000.0,1112.5,51.70601851,
2017/08/03,83677447.1682,7416.0,7392030000.0,364.05,161518000.0,87.5,6.28890264,
2017/08/04,218502199.886,20909.0,5969720000.0,233.05,185038000.0,437.5,20.23473119,
2017/08/05,263414317.956,26517.0,3809330000.0,213.15,144043000.0,237.5,21.32449804,
2017/08/06,221197596.409,15194.0,3497290000.0,220.66,107606000.0,162.5,11.2242577601,
2017/08/07,288488537.739,11791.0,3688360000.0,319.69,346546000.0,812.5,9.15282496002,
2017/08/08,436608260.18,16114.0,5297390000.0,345.49,274880000.0,975.0,8.68035229999,
2017/08/09,295120546.531,12855.0,5691960000.0,303.89,165032000.0,287.5,8.44009814001,
2017/08/10,151749604.299,10798.0,5031790000.0,275.95,136637000.0,1187.5,5.51291228001,
2017/08/11,145505519.183,9949.0,4548600000.0,328.24,233971000.0,1250.0,5.30796253,
2017/08/12,218294169.328,10507.0,5405200000.0,317.09,126007000.0,837.5,4.78128428,
2017/08/13,224223083.769,7543.0,5215330000.0,298.05,120722000.0,900.0,4.60345208,
2017/08/14,84058082.2631,7814.0,4882720000.0,297.68,174968000.0,975.0,4.83887706,
2017/08/15,143090103.85,9833.0,4917480000.0,297.86,133924000.0,1137.5,5.78545113,
2017/08/16,146063106.346,7696.0,4914350000.0,300.21,106436000.0,1400.0,4.87569032,
2017/08/17,155064460.428,135552.0,4964980000.0,460.53,744605000.0,1050.0,4.35333251001,
2017/08/18,620925663.303,10813.0,7565590000.0,690.24,3087490000.0,812.5,8.46124585999,
2017/08/19,1145249830.3,22796.0,11498100000.0,754.56,3196230000.0,812.5,8.81946855001,
2017/08/20,869773927.222,27728.0,12742600000.0,712.87,1494020000.0,1637.5,11.99113257,
2017/08/21,369931479.754,19530.0,11943100000.0,599.63,1123400000.0,5800.0,8.876545,
2017/08/22,314146151.276,16436.0,9844620000.0,690.88,1393260000.0,9550.0,7.12165057,
2017/08/23,530060642.747,15033.0,11416800000.0,669.4,501983000.0,10687.5,6.34074654,
2017/08/24,313592116.707,9684.0,11071100000.0,628.11,407177000.0,275.0,4.19772886,
2017/08/25,715900617.258,13311.0,10365600000.0,641.05,348632000.0,7112.5,7.21468871,
2017/08/26,374565964.568,10916.0,10616100000.0,625.32,193414000.0,8600.0,5.53354222001,
2017/08/27,258048021.014,8233.0,10357000000.0,620.9,402718000.0,8450.0,3.66496469,
2017/08/28,264077402.926,6328.0,10254800000.0,596.18,216273000.0,537.5,2.93697367999,
2017/08/29,194831687.002,10161.0,9866110000.0,552.93,370017000.0,2175.0,4.39485369,
2017/08/30,566130755.117,12858.0,9092300000.0,575.21,443856000.0,1775.0,5.11311822,
2017/08/31,816950321.492,15867.0,9538750000.0,588.17,298144000.0,1075.0,3.97986964995,
2017/09/01,214751289.898,13568.0,9740460000.0,622.17,393839000.0,1075.0,4.39237605999,
2017/09/02,216897372.152,10362.0,10297000000.0,575.9,350478000.0,1450.0,3.7594561,
2017/09/03,206019674.773,7858.0,9574520000.0,607.43,344862000.0,1675.0,2.77770443,
2017/09/04,196873239.696,7515.0,10072200000.0,517.24,328957000.0,1637.5,2.50160359,
2017/09/05,340807287.561,7599.0,8527100000.0,541.71,338978000.0,1612.5,4.31505577,
2017/09/06,379232459.948,7328.0,8964700000.0,638.18,693240000.0,1400.0,2.36431425999,
2017/09/07,462227428.795,8578.0,10548500000.0,652.86,1082380000.0,1750.0,2.3711804,
2017/09/08,226936880.935,8677.0,10840500000.0,583.1,809763000.0,2587.5,2.36196092,
